"PRENOM";"NOM";"EMAIL";"TELEPHONE";"DATE_NAISSANCE";"ADRESSE";"CODE_POSTAL";"VILLE";"DIPLOME";"ANNEES_EXPERIENCE";"POSTE_VISE";"SALAIRE_SOUHAITE";"DATE_CANDIDATURE";"STATUT"
"Serge";"Maillard";"sergemaillard@outlook.fr";"+33 6 48 86 85 94";"1991-06-14";"48 Rue de la Paix";"57000";"Metz";"Bac+3 (Licence)";"1";"Chef de Projet";"78981.82";"2025-03-25";"EN_COURS"
"Clémence";"Lefebvre";"clemence-lefebvre@gmail.com";"+33 6 63 77 90 21";"1995-05-08";"59 Rue de la République";"45000";"Orléans";"Bac+2 (BTS/DUT)";"6";"Scrum Master";"52538.87";"2025-12-17";"EMBAUCHE"
"Marion";"Roux";"marion-roux@outlook.fr";"+33 6 98 96 98 27";"1993-09-19";"51 Rue Pasteur";"54000";"Nancy";"CAP/BEP";"25";"Data Engineer";"30530.81";"2025-05-23";"EN_COURS"
"Manon";"Gaillard";"manongaillard@yahoo.fr";"+33 6 23 10 41 93";"2005-12-02";"106 Place de la Bastille";"13001";"Marseille";"MBA";"1";"Juriste";"43236.83";"2025-04-27";"EMBAUCHE"
"Alice";"Bertrand";"alice.bertrand@gmail.com";"+33 6 77 81 12 65";"1978-09-21";"71 Rue de la République";"75015";"Paris";"MBA";"16";"Product Owner";"32555.27";"2025-06-05";"OFFRE"
"François";"Perrot";"francois.perrot@protonmail.com";"+33 6 31 10 58 28";"1994-11-03";"17 Boulevard Gambetta";"76600";"Le Havre";"Bac+5 (Master/Ingénieur)";"24";"Développeur Full-Stack";"31942.64";"2025-08-02";"REFUSE"
"Valérie";"Clément";"valerieclement@gmail.com";"+33 6 88 57 73 52";"1988-11-30";"23 Boulevard Haussmann";"25000";"Besançon";"CAP/BEP";"7";"Analyste Données";"40660.93";"2025-06-23";"EN_COURS"
"Rémi";"François";"remi-francois@gmail.com";"+33 6 84 39 87 27";"1983-01-07";"40 Rue Victor Hugo";"93200";"Saint-Denis";"Bac+3 (Licence)";"6";"Architecte Cloud";"68134.1";"2025-07-25";"EN_COURS"
"Chloé";"Hamon";"chloe.hamon@hotmail.fr";"+33 6 44 66 23 86";"1995-10-02";"25 Rue du Commerce";"68100";"Mulhouse";"Bac+5 (Master/Ingénieur)";"5";"Ingénieur Machine Learning";"66416.97";"2025-08-15";"REFUSE"
"Jean";"Collet";"jeancollet@hotmail.fr";"+33 6 27 96 42 11";"1995-09-27";"74 Boulevard Gambetta";"63000";"Clermont-Ferrand";"MBA";"1";"Développeur Full-Stack";"78444.46";"2025-03-26";"REFUSE"
"Pascale";"Bernard";"pascalebernard@hotmail.fr";"+33 6 44 90 95 58";"1985-11-20";"94 Boulevard Haussmann";"29200";"Brest";"Bac+8 (Doctorat)";"4";"Ingénieur Machine Learning";"70378.71";"2025-12-29";"ENTRETIEN"
"Nicolas";"Charpentier";"nicolas.charpentier@gmail.com";"+33 6 36 91 59 51";"1991-04-30";"75 Place de la Bastille";"29200";"Brest";"Bac+2 (BTS/DUT)";"8";"Product Owner";"39181.3";"2025-01-16";"EN_COURS"
"Virginie";"Martin";"virginiemartin@outlook.fr";"+33 6 33 42 11 40";"2004-02-08";"43 Rue de Rivoli";"14000";"Caen";"CAP/BEP";"16";"Chef de Projet";"72581.44";"2025-04-14";"ENTRETIEN"
"Andrée";"Robin";"andree.robin@hotmail.fr";"+33 6 12 85 93 15";"1989-03-24";"147 Avenue Jean Jaurès";"29200";"Brest";"Bac Pro";"1";"Responsable RH";"70717.67";"2026-01-31";"OFFRE"
"Guillaume";"Boyer";"guillaume-boyer@yahoo.fr";"+33 6 62 57 18 52";"1985-06-13";"125 Allée des Tilleuls";"69001";"Lyon";"Bac Pro";"4";"Juriste";"41215.13";"2025-01-26";"EN_COURS"
"Romain";"Colin";"romain-colin@outlook.fr";"+33 6 83 94 26 78";"1994-04-03";"85 Avenue Jean Jaurès";"76600";"Le Havre";"MBA";"1";"Ingénieur Machine Learning";"45675.45";"2025-11-27";"REFUSE"
"Aurélien";"Dubois";"aureliendubois@outlook.fr";"+33 6 72 84 97 45";"1994-03-15";"14 Rue de la Paix";"75008";"Paris";"Bac+2 (BTS/DUT)";"0";"Responsable RH";"84549.61";"2025-08-10";"ENTRETIEN"
"Pauline";"Maillard";"pauline.maillard@gmail.com";"+33 6 65 42 87 58";"1992-08-04";"35 Allée des Tilleuls";"83000";"Toulon";"Bac+3 (Licence)";"3";"Chargé de Communication";"50958.99";"2025-07-28";"REFUSE"
"Jérôme";"Lemaire";"jerome-lemaire@protonmail.com";"+33 6 84 68 84 39";"1993-01-22";"82 Rue de la Gare";"66000";"Perpignan";"Bac+8 (Doctorat)";"6";"Chargé de Communication";"48568.45";"2025-03-06";"EN_COURS"
"René";"Perrin";"reneperrin@outlook.fr";"+33 6 61 14 56 98";"1985-09-10";"74 Rue des Écoles";"14000";"Caen";"Bac+2 (BTS/DUT)";"10";"Ingénieur Machine Learning";"46181.74";"2025-03-03";"EMBAUCHE"
"Louis";"Rolland";"louis-rolland@yahoo.fr";"+33 6 49 68 56 18";"1998-03-02";"96 Rue Pasteur";"51100";"Reims";"Bac+3 (Licence)";"15";"Comptable";"60494.5";"2025-10-04";"EN_COURS"
"Bernard";"Vincent";"bernardvincent@gmail.com";"+33 6 38 31 76 73";"1977-05-12";"14 Avenue de la Liberté";"64000";"Pau";"Bac Pro";"24";"Product Owner";"76878.83";"2026-01-01";"EN_COURS"
"Thierry";"Lacroix";"thierry-lacroix@outlook.fr";"+33 6 95 17 86 23";"1989-09-13";"93 Avenue de la Liberté";"06400";"Cannes";"Bac+3 (Licence)";"5";"Consultant BI";"81667.42";"2025-04-05";"EN_COURS"
"Stéphane";"Robert";"stephane-robert@gmail.com";"+33 6 55 46 28 60";"1978-04-09";"136 Boulevard Gambetta";"06400";"Cannes";"MBA";"6";"Consultant BI";"31440.55";"2025-11-11";"OFFRE"
"Patrick";"Blanc";"patrick.blanc@outlook.fr";"+33 6 49 80 34 93";"1978-05-15";"10 Place du Marché";"93200";"Saint-Denis";"Bac+8 (Doctorat)";"2";"Juriste";"57461.87";"2026-01-30";"ENTRETIEN"
"Florence";"Renard";"florence-renard@protonmail.com";"+33 6 71 35 12 27";"1996-10-20";"75 Rue des Écoles";"84000";"Avignon";"Bac+5 (Master/Ingénieur)";"15";"Juriste";"53188.02";"2025-05-18";"ENTRETIEN"
"David";"Adam";"davidadam@protonmail.com";"+33 6 16 89 29 25";"1995-05-02";"114 Avenue des Champs-Élysées";"06600";"Antibes";"Bac+2 (BTS/DUT)";"16";"Chef de Projet";"75103.13";"2025-09-06";"EN_COURS"
"Claude";"Lemaire";"claude-lemaire@protonmail.com";"+33 6 91 71 44 40";"1994-07-18";"138 Boulevard Gambetta";"13008";"Marseille";"Bac+2 (BTS/DUT)";"24";"Commercial";"48544.14";"2025-11-20";"ENTRETIEN"
"Andrée";"Simon";"andree.simon@yahoo.fr";"+33 6 28 22 75 61";"1994-07-12";"144 Rue de Rivoli";"21000";"Dijon";"Bac+2 (BTS/DUT)";"18";"Analyste Données";"34669.76";"2025-02-13";"ENTRETIEN"
"Xavier";"Boyer";"xavierboyer@gmail.com";"+33 6 93 88 13 80";"1990-07-09";"3 Impasse des Lilas";"83000";"Toulon";"MBA";"7";"Responsable RH";"31510.56";"2025-03-15";"EMBAUCHE"
"Théo";"Morin";"theomorin@yahoo.fr";"+33 6 87 56 35 86";"1986-01-29";"3 Rue Victor Hugo";"34000";"Montpellier";"CAP/BEP";"24";"Juriste";"46497.57";"2025-07-31";"EN_COURS"
"Dominique";"Roux";"dominiqueroux@gmail.com";"+33 6 32 28 56 82";"1984-02-29";"107 Avenue de la Liberté";"35000";"Rennes";"MBA";"1";"Ingénieur Machine Learning";"73781.1";"2025-02-14";"EN_COURS"
"Robert";"Rolland";"robertrolland@gmail.com";"+33 6 39 90 10 38";"2000-02-18";"55 Allée des Tilleuls";"44000";"Nantes";"Bac+3 (Licence)";"7";"Architecte Cloud";"68451.1";"2025-04-25";"EN_COURS"
"Élodie";"Perrin";"elodie-perrin@outlook.fr";"+33 6 99 52 61 14";"2000-01-21";"122 Chemin du Moulin";"69100";"Villeurbanne";"Bac+5 (Master/Ingénieur)";"3";"Chargé de Communication";"37815.08";"2025-07-22";"EN_COURS"
"Emmanuel";"Perrin";"emmanuel-perrin@protonmail.com";"+33 6 33 31 39 89";"1977-09-06";"37 Place de la Bastille";"57000";"Metz";"CAP/BEP";"17";"Chargé de Communication";"42969.23";"2025-10-20";"ENTRETIEN"
"Rémi";"Moulin";"remimoulin@hotmail.fr";"+33 6 16 68 84 34";"1980-03-07";"2 Rue Nationale";"13008";"Marseille";"Bac+2 (BTS/DUT)";"11";"Comptable";"29758.38";"2025-08-24";"EN_COURS"
"Romain";"Moreau";"romain-moreau@hotmail.fr";"+33 6 35 98 53 83";"1976-08-01";"93 Place du Marché";"45000";"Orléans";"CAP/BEP";"2";"Commercial";"48817.67";"2025-04-13";"OFFRE"
"Bernard";"Navarro";"bernard.navarro@protonmail.com";"+33 6 81 39 93 57";"1995-07-26";"39 Impasse des Lilas";"42000";"Saint-Étienne";"Bac+5 (Master/Ingénieur)";"20";"Product Owner";"46896.14";"2025-12-27";"EN_COURS"
"Clément";"Bernard";"clementbernard@gmail.com";"+33 6 63 43 77 62";"2000-09-28";"81 Avenue de la Liberté";"93100";"Montreuil";"CAP/BEP";"14";"Commercial";"61578.68";"2025-04-19";"EMBAUCHE"
"Henri";"Sanchez";"henrisanchez@protonmail.com";"+33 6 61 98 44 87";"1998-07-30";"111 Avenue Victor Hugo";"25000";"Besançon";"MBA";"16";"Product Owner";"65056.39";"2025-10-23";"ENTRETIEN"
"Paul";"Lefèvre";"paul-lefevre@hotmail.fr";"+33 6 82 88 34 16";"2004-09-13";"80 Avenue de la Liberté";"38000";"Grenoble";"Bac+8 (Doctorat)";"8";"Responsable RH";"73065.58";"2026-01-14";"EN_COURS"
"Colette";"Vincent";"colette.vincent@protonmail.com";"+33 6 79 21 75 34";"1999-04-16";"94 Boulevard Haussmann";"21000";"Dijon";"MBA";"5";"DevOps";"50531.28";"2026-01-10";"EMBAUCHE"
"Arnaud";"Adam";"arnaud.adam@protonmail.com";"+33 6 66 30 87 68";"1997-11-30";"62 Rue du Commerce";"69003";"Lyon";"Bac Pro";"22";"Développeur Full-Stack";"59742.71";"2025-08-08";"EN_COURS"
"Hervé";"Sanchez";"herve.sanchez@outlook.fr";"+33 6 62 55 16 24";"1998-02-13";"16 Rue Lafayette";"42000";"Saint-Étienne";"CAP/BEP";"0";"Juriste";"66654.32";"2025-06-09";"EMBAUCHE"
"Arnaud";"Nguyen";"arnaudnguyen@gmail.com";"+33 6 96 88 72 24";"1997-03-25";"123 Rue Pasteur";"57000";"Metz";"MBA";"19";"Chef de Projet";"57626.41";"2025-06-02";"EN_COURS"
"Monique";"Blanc";"monique.blanc@outlook.fr";"+33 6 94 79 64 61";"1992-11-23";"136 Rue du Commerce";"57000";"Metz";"Bac+3 (Licence)";"11";"Juriste";"61832.55";"2025-05-18";"EN_COURS"
"Thierry";"Bertrand";"thierrybertrand@hotmail.fr";"+33 6 48 25 51 41";"1976-09-14";"65 Rue Émile Zola";"38000";"Grenoble";"Bac+3 (Licence)";"3";"Scrum Master";"54850.93";"2025-01-07";"OFFRE"
"Nathalie";"Renaud";"nathalie.renaud@protonmail.com";"+33 6 28 18 62 27";"1989-05-30";"57 Boulevard Saint-Germain";"95100";"Argenteuil";"MBA";"5";"Analyste Données";"28496.51";"2026-02-04";"REFUSE"
"Françoise";"Boulanger";"francoise-boulanger@hotmail.fr";"+33 6 83 35 77 41";"1994-05-03";"105 Rue de Rivoli";"13008";"Marseille";"Bac+3 (Licence)";"24";"Consultant BI";"46260.54";"2026-01-22";"EN_COURS"
"Corinne";"Nicolas";"corinne.nicolas@gmail.com";"+33 6 82 24 35 36";"2000-02-14";"123 Rue du Commerce";"06000";"Nice";"MBA";"0";"Chargé de Communication";"39798.82";"2025-04-03";"REFUSE"
"Bruno";"Morin";"bruno.morin@protonmail.com";"+33 6 59 43 37 90";"1983-04-05";"85 Place du Marché";"30000";"Nîmes";"Bac+2 (BTS/DUT)";"4";"Product Owner";"61166.64";"2025-08-06";"ENTRETIEN"
"Claude";"Brun";"claude-brun@gmail.com";"+33 6 75 41 11 88";"1985-12-21";"150 Rue de la Paix";"63000";"Clermont-Ferrand";"MBA";"21";"Analyste Données";"81489.45";"2025-04-13";"REFUSE"
"Fabrice";"Marchand";"fabricemarchand@outlook.fr";"+33 6 23 80 78 53";"1978-05-10";"120 Avenue de la Liberté";"35000";"Rennes";"Bac+5 (Master/Ingénieur)";"7";"Chef de Projet";"48026.82";"2025-12-09";"REFUSE"
"Franck";"Perrin";"franck.perrin@outlook.fr";"+33 6 31 92 44 96";"1978-01-31";"64 Avenue Victor Hugo";"06600";"Antibes";"MBA";"23";"Architecte Cloud";"77751.06";"2025-07-21";"OFFRE"
"Mireille";"Garnier";"mireillegarnier@outlook.fr";"+33 6 76 89 12 30";"1991-09-10";"128 Place du Marché";"42000";"Saint-Étienne";"Bac+2 (BTS/DUT)";"21";"Responsable RH";"38033.77";"2025-10-06";"EN_COURS"
"Yvette";"Faure";"yvettefaure@yahoo.fr";"+33 6 56 92 62 71";"1981-09-08";"97 Boulevard Gambetta";"78000";"Versailles";"Bac Pro";"5";"DevOps";"70686.43";"2025-09-14";"ENTRETIEN"
"Brigitte";"Vincent";"brigitte.vincent@hotmail.fr";"+33 6 22 23 77 36";"1987-05-03";"102 Rue de la République";"75020";"Paris";"MBA";"23";"Ingénieur Machine Learning";"28684.14";"2025-12-24";"REFUSE"
"Geneviève";"Nicolas";"genevieve-nicolas@yahoo.fr";"+33 6 53 23 52 44";"1978-03-09";"72 Boulevard Saint-Germain";"13008";"Marseille";"Bac+3 (Licence)";"22";"Scrum Master";"51829.55";"2025-06-06";"ENTRETIEN"
"Martine";"François";"martine.francois@protonmail.com";"+33 6 29 55 75 18";"1994-03-27";"9 Boulevard Haussmann";"17000";"La Rochelle";"CAP/BEP";"0";"Data Engineer";"66264.06";"2025-10-23";"EN_COURS"
"Maxime";"Noel";"maximenoel@yahoo.fr";"+33 6 31 95 79 23";"1987-05-26";"82 Boulevard Gambetta";"83000";"Toulon";"CAP/BEP";"23";"Développeur Full-Stack";"64981.51";"2025-09-28";"EN_COURS"
"Sarah";"Mathieu";"sarah.mathieu@yahoo.fr";"+33 6 84 72 28 61";"1997-09-06";"70 Rue Nationale";"76600";"Le Havre";"Bac+5 (Master/Ingénieur)";"13";"Architecte Cloud";"75839.41";"2025-03-23";"EN_COURS"
"Émilie";"Roux";"emilieroux@yahoo.fr";"+33 6 42 55 85 73";"2000-04-04";"13 Rue Nationale";"06000";"Nice";"Bac+2 (BTS/DUT)";"3";"Comptable";"32891.8";"2025-01-12";"EN_COURS"
"Dominique";"Brun";"dominiquebrun@yahoo.fr";"+33 6 84 65 70 68";"1984-01-21";"32 Avenue Foch";"29200";"Brest";"Bac+3 (Licence)";"1";"Consultant BI";"61005.29";"2025-08-27";"ENTRETIEN"
"Zoé";"Clément";"zoe-clement@yahoo.fr";"+33 6 94 66 89 48";"1995-10-22";"49 Boulevard de la Marne";"69001";"Lyon";"Bac+8 (Doctorat)";"12";"Ingénieur Machine Learning";"78147.74";"2025-02-16";"ENTRETIEN"
"Julie";"Mathieu";"julie.mathieu@outlook.fr";"+33 6 87 39 81 60";"1998-09-26";"21 Rue des Écoles";"68100";"Mulhouse";"Bac+8 (Doctorat)";"20";"Product Owner";"39453.19";"2025-12-04";"REFUSE"
"Geneviève";"Perrot";"genevieveperrot@outlook.fr";"+33 6 68 91 26 71";"1990-04-30";"56 Boulevard Haussmann";"69001";"Lyon";"MBA";"24";"Architecte Cloud";"57647.94";"2025-07-14";"EN_COURS"
"Benoît";"Moreau";"benoitmoreau@outlook.fr";"+33 6 83 42 70 95";"1985-04-28";"142 Avenue Jean Jaurès";"84000";"Avignon";"Bac+5 (Master/Ingénieur)";"20";"Comptable";"30952.73";"2025-10-27";"EN_COURS"
"Céline";"Philippe";"celine-philippe@outlook.fr";"+33 6 20 23 33 37";"1987-12-03";"105 Chemin du Moulin";"83000";"Toulon";"Bac+3 (Licence)";"20";"Chargé de Communication";"58962.53";"2025-01-26";"ENTRETIEN"
"Eva";"Leclerc";"evaleclerc@outlook.fr";"+33 6 10 60 44 68";"1992-06-04";"88 Rue Nationale";"75001";"Paris";"CAP/BEP";"0";"Chef de Projet";"55118.8";"2025-01-07";"EN_COURS"
"Marie";"Morin";"marie-morin@yahoo.fr";"+33 6 15 45 71 75";"1986-03-23";"17 Rue Pierre Curie";"84000";"Avignon";"Bac+3 (Licence)";"7";"Ingénieur Machine Learning";"69595.17";"2025-04-01";"OFFRE"
"Lucas";"Deschamps";"lucasdeschamps@hotmail.fr";"+33 6 55 65 42 29";"1978-04-01";"89 Avenue Victor Hugo";"13100";"Aix-en-Provence";"MBA";"25";"Product Owner";"76730.39";"2025-12-02";"OFFRE"
"Pascale";"Marchand";"pascale-marchand@gmail.com";"+33 6 98 66 42 22";"1987-04-06";"109 Rue Pasteur";"25000";"Besançon";"Bac+5 (Master/Ingénieur)";"22";"Analyste Données";"57952.51";"2025-11-14";"ENTRETIEN"
"Véronique";"Lacroix";"veronique.lacroix@hotmail.fr";"+33 6 12 81 11 42";"1993-06-23";"94 Place du Marché";"33000";"Bordeaux";"Bac Pro";"7";"Chargé de Communication";"47571.85";"2026-01-25";"EN_COURS"
"Didier";"Hubert";"didier.hubert@hotmail.fr";"+33 6 67 90 65 13";"1995-03-04";"68 Rue Victor Hugo";"17000";"La Rochelle";"Bac+5 (Master/Ingénieur)";"7";"Développeur Full-Stack";"29796.32";"2026-02-19";"REFUSE"
"Luc";"Laurent";"luc.laurent@yahoo.fr";"+33 6 71 45 94 29";"2002-05-30";"138 Rue du Faubourg Saint-Honoré";"06000";"Nice";"Bac+3 (Licence)";"6";"Développeur Full-Stack";"62718.08";"2025-06-01";"EN_COURS"
"Gérard";"Jacquet";"gerard.jacquet@protonmail.com";"+33 6 79 72 55 34";"1985-11-10";"28 Rue Jean Moulin";"83000";"Toulon";"Bac+3 (Licence)";"23";"DevOps";"29015.41";"2025-03-24";"EMBAUCHE"
"Lina";"Blanc";"linablanc@yahoo.fr";"+33 6 75 59 19 76";"1980-08-30";"66 Rue de Rivoli";"93100";"Montreuil";"MBA";"0";"DevOps";"36578.27";"2025-05-31";"ENTRETIEN"
"Mélanie";"Bertrand";"melanie.bertrand@gmail.com";"+33 6 81 28 54 34";"1986-12-16";"82 Rue de Rivoli";"49000";"Angers";"Bac+3 (Licence)";"0";"Architecte Cloud";"38797.11";"2025-10-03";"EN_COURS"
"Frédéric";"Bernard";"frederic-bernard@outlook.fr";"+33 6 23 54 69 24";"1988-08-29";"87 Chemin du Moulin";"13001";"Marseille";"Bac+5 (Master/Ingénieur)";"13";"Ingénieur Machine Learning";"36629.5";"2025-11-02";"EN_COURS"
"Mireille";"Michel";"mireille-michel@protonmail.com";"+33 6 97 14 66 18";"2002-09-30";"129 Avenue Victor Hugo";"33000";"Bordeaux";"MBA";"20";"Comptable";"47654.45";"2025-05-14";"ENTRETIEN"
"Dominique";"Schmitt";"dominique-schmitt@hotmail.fr";"+33 6 78 45 78 98";"1981-05-10";"83 Rue Jean Moulin";"64100";"Bayonne";"Bac+5 (Master/Ingénieur)";"24";"Juriste";"69451.72";"2025-07-29";"EN_COURS"
"Lucie";"Martinez";"luciemartinez@yahoo.fr";"+33 6 59 72 37 68";"2005-06-17";"48 Rue du Faubourg Saint-Honoré";"86000";"Poitiers";"CAP/BEP";"19";"Ingénieur Machine Learning";"50347.83";"2025-03-03";"ENTRETIEN"
"Julie";"Roux";"julie-roux@hotmail.fr";"+33 6 20 71 30 96";"1997-11-29";"93 Rue du Faubourg Saint-Honoré";"30000";"Nîmes";"Bac+5 (Master/Ingénieur)";"11";"Scrum Master";"74131.24";"2025-09-18";"ENTRETIEN"
"Aurélien";"Lefèvre";"aurelienlefevre@protonmail.com";"+33 6 82 11 88 21";"2005-10-11";"15 Boulevard Saint-Germain";"69001";"Lyon";"Bac+8 (Doctorat)";"7";"Chargé de Communication";"82723.27";"2025-12-15";"EN_COURS"
"Sylvain";"Rey";"sylvain-rey@gmail.com";"+33 6 39 82 44 81";"1981-03-30";"79 Rue de la Paix";"35000";"Rennes";"MBA";"6";"Product Owner";"30075.59";"2025-12-13";"EN_COURS"
"Anne";"Aubert";"anne.aubert@hotmail.fr";"+33 6 86 72 16 34";"1994-07-27";"15 Allée des Tilleuls";"38000";"Grenoble";"Bac+5 (Master/Ingénieur)";"17";"Chargé de Communication";"71596.38";"2025-09-15";"REFUSE"
"Julien";"Faure";"julien-faure@yahoo.fr";"+33 6 95 85 46 90";"1996-11-30";"121 Rue Lafayette";"95100";"Argenteuil";"Bac+3 (Licence)";"4";"Architecte Cloud";"55951.19";"2025-10-31";"EMBAUCHE"
"Pierre";"Nicolas";"pierre.nicolas@outlook.fr";"+33 6 45 51 36 75";"1999-01-13";"62 Boulevard Saint-Germain";"67000";"Strasbourg";"Bac+2 (BTS/DUT)";"6";"Juriste";"78401.07";"2025-02-05";"REFUSE"
"Ludovic";"Lecomte";"ludoviclecomte@hotmail.fr";"+33 6 75 30 27 60";"1985-04-23";"64 Avenue Jean Jaurès";"34000";"Montpellier";"Bac+8 (Doctorat)";"3";"Data Engineer";"62042.61";"2025-05-28";"EN_COURS"
"Vincent";"Deschamps";"vincent-deschamps@yahoo.fr";"+33 6 27 85 67 81";"1981-11-10";"64 Rue Nationale";"06000";"Nice";"Bac+5 (Master/Ingénieur)";"6";"Data Engineer";"80762.93";"2025-11-25";"REFUSE"
"Dominique";"Nicolas";"dominiquenicolas@hotmail.fr";"+33 6 15 48 75 77";"1997-03-19";"101 Avenue Victor Hugo";"21000";"Dijon";"Bac+5 (Master/Ingénieur)";"15";"Data Engineer";"74373.37";"2025-08-09";"OFFRE"
"Paul";"Marchand";"paul.marchand@hotmail.fr";"+33 6 17 79 65 86";"1988-08-14";"67 Avenue des Champs-Élysées";"30000";"Nîmes";"Bac+8 (Doctorat)";"11";"Responsable RH";"29528.96";"2025-03-16";"EN_COURS"
"Mireille";"Lecomte";"mireille-lecomte@gmail.com";"+33 6 14 70 68 24";"1994-11-28";"21 Chemin du Moulin";"06000";"Nice";"Bac+2 (BTS/DUT)";"10";"Analyste Données";"41964.32";"2026-01-16";"REFUSE"
"Thomas";"Renard";"thomasrenard@gmail.com";"+33 6 39 43 85 90";"1984-03-13";"149 Avenue Foch";"78000";"Versailles";"Bac+3 (Licence)";"25";"Consultant BI";"62837.63";"2025-01-31";"REFUSE"
"Christian";"Arnaud";"christian-arnaud@protonmail.com";"+33 6 95 74 51 88";"1978-01-20";"22 Allée des Tilleuls";"54000";"Nancy";"Bac Pro";"5";"Scrum Master";"61577.54";"2025-12-13";"EN_COURS"
"Louise";"Moulin";"louise.moulin@hotmail.fr";"+33 6 39 78 40 43";"1984-03-13";"111 Rue de Rivoli";"25000";"Besançon";"Bac+8 (Doctorat)";"8";"DevOps";"72799.01";"2026-01-05";"ENTRETIEN"
"Isabelle";"Leroy";"isabelle-leroy@protonmail.com";"+33 6 12 53 11 40";"1991-07-22";"4 Impasse des Lilas";"75015";"Paris";"Bac+8 (Doctorat)";"17";"Commercial";"51142.53";"2025-02-19";"REFUSE"
"Françoise";"Maréchal";"francoise-marechal@hotmail.fr";"+33 6 67 12 39 48";"1976-10-10";"6 Avenue des Champs-Élysées";"80000";"Amiens";"Bac Pro";"4";"DevOps";"84358.03";"2025-09-05";"EMBAUCHE"
"Pascale";"Chevalier";"pascale.chevalier@outlook.fr";"+33 6 94 54 15 92";"1986-02-20";"118 Rue du Commerce";"51100";"Reims";"Bac+3 (Licence)";"2";"Product Owner";"59216.2";"2025-10-21";"REFUSE"
"Étienne";"Charpentier";"etienne.charpentier@outlook.fr";"+33 6 19 60 74 42";"1980-11-12";"16 Avenue de la Liberté";"37000";"Tours";"Bac+2 (BTS/DUT)";"18";"Product Owner";"35316.38";"2025-09-05";"ENTRETIEN"
"Charles";"Moreau";"charles-moreau@yahoo.fr";"+33 6 98 13 34 46";"1998-03-29";"117 Avenue Jean Jaurès";"45000";"Orléans";"MBA";"20";"DevOps";"53201.59";"2025-12-22";"EN_COURS"
"Jacques";"David";"jacques-david@hotmail.fr";"+33 6 59 10 33 66";"1978-10-06";"34 Rue du Commerce";"13008";"Marseille";"Bac+2 (BTS/DUT)";"11";"Analyste Données";"30093.55";"2025-11-14";"ENTRETIEN"
"Alice";"Perrot";"alice.perrot@gmail.com";"+33 6 39 85 35 48";"1981-02-15";"15 Avenue des Champs-Élysées";"69003";"Lyon";"Bac+3 (Licence)";"6";"Analyste Données";"64441.7";"2025-04-18";"REFUSE"
"Claude";"Fleury";"claude-fleury@hotmail.fr";"+33 6 26 28 21 65";"1989-12-25";"129 Rue du Faubourg Saint-Honoré";"14000";"Caen";"Bac+2 (BTS/DUT)";"11";"Juriste";"70149.2";"2025-09-02";"REFUSE"
"Sébastien";"Robin";"sebastienrobin@hotmail.fr";"+33 6 76 93 86 53";"1995-02-18";"38 Rue des Écoles";"37000";"Tours";"Bac+2 (BTS/DUT)";"12";"Responsable RH";"41700.37";"2025-07-15";"REFUSE"
"Yves";"Brun";"yves-brun@gmail.com";"+33 6 91 33 88 73";"2001-07-25";"18 Boulevard Haussmann";"33000";"Bordeaux";"CAP/BEP";"10";"Juriste";"57361.38";"2025-03-28";"ENTRETIEN"
"Inès";"Guérin";"ines.guerin@outlook.fr";"+33 6 25 30 22 98";"1981-09-19";"47 Rue des Écoles";"06400";"Cannes";"Bac Pro";"23";"Commercial";"37596.67";"2025-02-18";"EN_COURS"
"Romane";"Richard";"romane-richard@yahoo.fr";"+33 6 41 36 32 21";"1999-04-28";"92 Impasse des Lilas";"38000";"Grenoble";"MBA";"9";"Chef de Projet";"36017.09";"2025-12-23";"EN_COURS"
"Loïc";"Lefèvre";"loic.lefevre@outlook.fr";"+33 6 69 75 93 92";"2001-04-18";"85 Place du Marché";"75008";"Paris";"Bac+2 (BTS/DUT)";"17";"Product Owner";"59764.51";"2025-12-06";"OFFRE"
"Isabelle";"Rolland";"isabellerolland@protonmail.com";"+33 6 20 61 90 69";"1999-01-06";"55 Boulevard Voltaire";"35000";"Rennes";"Bac Pro";"7";"Architecte Cloud";"33691.69";"2025-01-23";"ENTRETIEN"
"Anne";"Perrin";"anne-perrin@outlook.fr";"+33 6 90 37 56 64";"1984-10-23";"74 Boulevard Haussmann";"14000";"Caen";"Bac+5 (Master/Ingénieur)";"9";"Responsable RH";"66263.98";"2025-11-12";"ENTRETIEN"
"Christian";"Guérin";"christian-guerin@yahoo.fr";"+33 6 62 35 72 81";"2004-06-29";"134 Rue Pasteur";"69003";"Lyon";"Bac+2 (BTS/DUT)";"22";"Architecte Cloud";"33107.69";"2026-02-20";"REFUSE"
"Guillaume";"Mercier";"guillaume.mercier@yahoo.fr";"+33 6 85 63 22 32";"1977-04-08";"147 Boulevard Saint-Germain";"14000";"Caen";"Bac+8 (Doctorat)";"25";"Consultant BI";"66973.65";"2026-02-09";"EN_COURS"
"Brigitte";"Collet";"brigitte-collet@gmail.com";"+33 6 66 85 69 66";"1987-12-26";"34 Avenue Victor Hugo";"76600";"Le Havre";"Bac+8 (Doctorat)";"16";"Juriste";"56599.73";"2025-01-19";"ENTRETIEN"
