"PRENOM";"NOM";"EMAIL_PRO";"TELEPHONE_PRO";"TELEPHONE_PERSO";"DATE_NAISSANCE";"LIEU_NAISSANCE";"GENRE";"NATIONALITE";"NIR";"NUMERO_PASSEPORT";"PERMIS_CONDUIRE";"ADRESSE";"CODE_POSTAL";"VILLE";"IBAN";"POSTE";"DEPARTEMENT";"DATE_EMBAUCHE";"TYPE_CONTRAT";"MANAGER_ID";"ACTIF"
"Hervé";"Martinez";"herve.martinez@voltaire-analytics.fr";"+33 3 50 73 71 83";"+33 6 70 94 86 92";"1980-03-29";"Bordeaux";"M";"Française";"180035045544533";"12PJ92016";"2216771485";"56 Rue de la Gare";"14000";"Caen";"FR7645729981652518479419950";"Directeur de la Stratégie";"Direction Générale";"2024-03-01";"CDD";"37";"True"
"Monique";"Roux";"moniqueroux@voltaire-analytics.fr";"+33 3 80 90 62 89";"+33 6 90 59 64 11";"1965-11-21";"Argenteuil";"F";"Française";"265115421736603";"49VO61484";"1291565725";"44 Boulevard Haussmann";"13008";"Marseille";"FR7617463216135080394473126";"Chef de Produit";"Marketing";"2022-06-09";"CDI";"20";"True"
"Romain";"Dubois";"romain.dubois@voltaire-analytics.fr";"+33 3 54 84 47 17";"+33 6 74 54 87 91";"1993-09-20";"Grenoble";"M";"Française";"193095238324750";"53FZ46230";"9250965277";"117 Rue Victor Hugo";"64100";"Bayonne";"FR7687425533656967646363197";"Rédacteur";"Communication";"2023-09-04";"CDD";"30";"True"
"Émilie";"Rolland";"emilierolland@voltaire-analytics.fr";"+33 3 29 52 19 31";"+33 6 31 52 80 47";"1985-06-01";"Amiens";"F";"Française";"285067686665626";"16CV74457";"5138504052";"45 Rue de la Gare";"87000";"Limoges";"FR7645881837425478836878830";"Auditeur Interne";"Comptabilité";"2020-07-26";"CDI";"38";"False"
"Christophe";"Durand";"christophe.durand@voltaire-analytics.fr";"+33 5 53 44 14 66";"+33 6 10 17 81 43";"1970-02-24";"Marseille";"M";"Française";"170024458573271";"20EJ28809";"6363666767";"57 Rue Émile Zola";"38000";"Grenoble";"FR7681218546574003552448096";"Opérateur";"Production";"2019-03-17";"CDD";"22";"True"
"Hugo";"Bertrand";"hugobertrand@voltaire-analytics.fr";"+33 4 31 12 44 17";"+33 6 75 55 28 12";"1986-05-18";"Rennes";"M";"Française";"186052727090748";"62CC79102";"8693580748";"49 Avenue de la Liberté";"57000";"Metz";"FR7628864783259667054216458";"Rédacteur";"Communication";"2021-10-06";"Alternance";"13";"True"
"Vincent";"Michel";"vincentmichel@voltaire-analytics.fr";"+33 5 18 71 20 59";"+33 6 16 41 35 96";"1993-11-04";"Paris";"M";"Française";"193116583538303";"47JC79355";"9360560123";"111 Avenue des Champs-Élysées";"13100";"Aix-en-Provence";"FR7697158336891290762221390";"Chef d'Atelier";"Production";"2015-12-24";"CDI";"36";"True"
"Philippe";"Rey";"philippe.rey@voltaire-analytics.fr";"+33 4 72 62 73 68";"+33 6 69 68 40 63";"1988-11-17";"Pau";"M";"Française";"188115938731943";"55LJ53361";"8919759733";"130 Rue du Faubourg Saint-Honoré";"51100";"Reims";"FR7690397533614734821855635";"Directeur Commercial";"Commercial";"2016-03-17";"Alternance";"9";"True"
"Andrée";"Lambert";"andree.lambert@voltaire-analytics.fr";"+33 1 78 89 27 34";"+33 6 98 41 34 93";"1964-10-21";"Marseille";"F";"Française";"264102737469690";"18JU78160";"5066432040";"6 Rue de Rivoli";"80000";"Amiens";"FR7659350428206590915250427";"Ingénieur Méthodes";"Qualité";"2015-02-28";"CDI";"19";"True"
"Maxime";"Nicolas";"maximenicolas@voltaire-analytics.fr";"+33 4 65 30 23 63";"+33 6 46 81 41 42";"1974-07-30";"Toulouse";"M";"Française";"174075971490071";"84OH17147";"3257290540";"146 Avenue Jean Jaurès";"29200";"Brest";"FR7672650321343295607024695";"DGA";"Direction Générale";"2017-07-26";"CDD";"50";"False"
"Charles";"Schmitt";"charles.schmitt@voltaire-analytics.fr";"+33 2 57 79 33 78";"+33 6 43 77 81 87";"2000-06-05";"Caen";"M";"Belge";"100068691284871";"85JT56954";"2074440125";"150 Boulevard Haussmann";"95100";"Argenteuil";"FR7686543462146504644700394";"Administrateur Systèmes";"Informatique";"2019-11-07";"CDI";"21";"True"
"André";"Rousseau";"andre.rousseau@voltaire-analytics.fr";"+33 3 31 48 29 77";"+33 6 58 73 78 56";"1989-05-30";"Reims";"M";"Française";"189056491201036";"18QS71594";"7268158200";"78 Boulevard Voltaire";"69003";"Lyon";"FR7669169157004330070361864";"Juriste";"Juridique";"2023-07-05";"CDI";"22";"True"
"Bernard";"Leclerc";"bernard-leclerc@voltaire-analytics.fr";"+33 1 69 71 14 91";"+33 6 73 40 44 99";"1966-01-25";"Brest";"M";"Française";"166010669025559";"23ND39040";"9460008300";"125 Avenue Foch";"06600";"Antibes";"FR7691013267122179293187559";"Rédacteur";"Communication";"2018-12-04";"CDI";"12";"True"
"Jérôme";"Navarro";"jeromenavarro@voltaire-analytics.fr";"+33 2 26 81 61 72";"+33 6 97 74 53 21";"1988-04-18";"Poitiers";"M";"Française";"188040743493090";"60QQ19206";"5470158717";"84 Rue Nationale";"69003";"Lyon";"FR7664510987802037835940563";"Chargé de Communication";"Marketing";"2025-12-29";"CDI";"16";"True"
"Delphine";"Boyer";"delphineboyer@voltaire-analytics.fr";"+33 1 53 82 57 50";"+33 6 25 99 62 24";"1965-06-26";"Marseille";"F";"Marocaine";"265062921360294";"52NG34558";"2653754825";"131 Rue de Rivoli";"13001";"Marseille";"FR7658915617636414661612818";"Chef d'Atelier";"Production";"2015-11-30";"Alternance";"42";"True"
"Colette";"Gaillard";"colettegaillard@voltaire-analytics.fr";"+33 4 84 72 80 48";"+33 6 77 71 83 74";"1976-01-29";"Nancy";"F";"Française";"276015375820345";"20SN39421";"1768301582";"14 Place de la Bastille";"57000";"Metz";"FR7636852609453226168499254";"Directeur des Achats";"Achats";"2019-09-25";"CDI";"16";"True"
"Pascale";"Sanchez";"pascalesanchez@voltaire-analytics.fr";"+33 1 24 72 59 36";"+33 6 23 87 21 83";"1967-03-13";"Perpignan";"F";"Française";"267035525047806";"97UA78703";"5668032143";"2 Rue du Commerce";"69100";"Villeurbanne";"FR7629648327771082741760862";"Aide-Comptable";"Comptabilité";"2019-09-05";"CDI";"42";"True"
"Charlotte";"Renaud";"charlotterenaud@voltaire-analytics.fr";"+33 3 31 87 76 49";"+33 6 18 10 48 11";"1966-08-18";"La Rochelle";"F";"Suisse";"266080522387654";"30PG12420";"3731384404";"135 Boulevard Saint-Germain";"64100";"Bayonne";"FR7668260499256577856128436";"Technicien Support";"Service Client";"2016-06-05";"CDI";"15";"True"
"Claude";"Gaillard";"claudegaillard@voltaire-analytics.fr";"+33 2 11 41 79 10";"+33 6 97 64 96 84";"1989-06-11";"Perpignan";"M";"Française";"189068642399053";"27VC83686";"5243532741";"27 Rue du Faubourg Saint-Honoré";"17000";"La Rochelle";"FR7695965314407046713547372";"Responsable Qualité";"Qualité";"2024-01-29";"Alternance";"41";"True"
"Guillaume";"Boulanger";"guillaumeboulanger@voltaire-analytics.fr";"+33 5 48 71 32 74";"+33 6 19 93 41 30";"1985-08-24";"Grenoble";"M";"Française";"185087552828771";"53AG36352";"9792432439";"45 Allée des Tilleuls";"75020";"Paris";"FR7697034888021426565150738";"DPO";"Juridique";"2017-06-14";"CDI";"45";"True"
"Thierry";"Delmas";"thierry-delmas@voltaire-analytics.fr";"+33 3 26 98 67 98";"+33 6 52 63 67 22";"1978-02-11";"Montreuil";"M";"Française";"178024404983341";"41BL62796";"7486298558";"117 Avenue de Verdun";"75020";"Paris";"FR7618789264896485905265852";"Analyste Financier";"Finance";"2024-07-10";"Alternance";"19";"True"
"Camille";"Berger";"camilleberger@voltaire-analytics.fr";"+33 5 40 74 74 31";"+33 6 10 19 51 25";"1991-10-27";"Caen";"F";"Française";"291106045350958";"62IS21698";"4177101931";"91 Avenue de la Liberté";"13100";"Aix-en-Provence";"FR7664254554007931074804131";"Trésorier";"Finance";"2016-03-20";"CDD";"42";"True"
"Daniel";"Lemaître";"daniel-lemaitre@voltaire-analytics.fr";"+33 5 43 84 47 34";"+33 6 95 42 50 68";"1982-09-06";"Aix-en-Provence";"M";"Française";"182095107974028";"40RR67269";"5367031860";"9 Chemin du Moulin";"64100";"Bayonne";"FR7686365218496024012035886";"Business Developer";"Commercial";"2023-05-09";"CDI";"13";"True"
"Sabrina";"Jacquet";"sabrina.jacquet@voltaire-analytics.fr";"+33 4 11 24 84 46";"+33 6 21 29 91 68";"2002-11-06";"Aix-en-Provence";"F";"Française";"202115010957620";"51VH63708";"1499095897";"11 Rue Pierre Curie";"45000";"Orléans";"FR7667454278011060067115138";"Attaché de Presse";"Communication";"2021-03-05";"Alternance";"7";"False"
"Charlotte";"Barbier";"charlotte-barbier@voltaire-analytics.fr";"+33 2 66 30 12 35";"+33 6 92 66 38 47";"1969-06-28";"Reims";"F";"Française";"269066523091840";"58LN73309";"1087175291";"1 Rue Nationale";"14000";"Caen";"FR7663166964225663095527272";"Technicien Qualité";"Qualité";"2024-05-29";"Alternance";"13";"True"
"Étienne";"Rousseau";"etienne-rousseau@voltaire-analytics.fr";"+33 4 35 86 41 19";"+33 6 60 42 86 10";"1977-09-28";"Antibes";"M";"Marocaine";"177094427843634";"80UR74900";"4018401735";"129 Rue du Commerce";"25000";"Besançon";"FR7679966263205364042392037";"Chargé de Recrutement";"Ressources Humaines";"2025-11-07";"CDI";"12";"True"
"Étienne";"Blanc";"etienne-blanc@voltaire-analytics.fr";"+33 5 16 97 14 82";"+33 6 51 76 16 49";"2003-08-04";"Marseille";"M";"Française";"103083839612691";"50TZ71190";"1116859410";"149 Allée des Tilleuls";"13001";"Marseille";"FR7617287145773770573749876";"Coordinateur Transport";"Logistique";"2017-11-21";"CDI";"49";"True"
"Pascale";"Garnier";"pascale-garnier@voltaire-analytics.fr";"+33 5 39 83 91 14";"+33 6 80 87 45 23";"1994-10-10";"Lyon";"F";"Française";"294107454432690";"83MP18871";"7746747992";"52 Rue de la Paix";"69001";"Lyon";"FR7655895485088585039132091";"Architecte Cloud";"Informatique";"2023-11-22";"CDD";"23";"True"
"Sébastien";"Jacquet";"sebastien-jacquet@voltaire-analytics.fr";"+33 5 48 11 83 47";"+33 6 31 94 83 46";"2001-05-24";"Montpellier";"M";"Tunisienne";"101054157946056";"89TX87283";"1448297232";"143 Rue des Écoles";"35000";"Rennes";"FR7668675990476355076972365";"Secrétaire Général";"Direction Générale";"2024-04-28";"CDI";"47";"True"
"Sébastien";"Lecomte";"sebastien-lecomte@voltaire-analytics.fr";"+33 1 92 37 82 88";"+33 6 70 80 37 78";"1983-07-16";"Le Havre";"M";"Française";"183073868671756";"93GA79212";"2295653293";"62 Boulevard Saint-Germain";"13100";"Aix-en-Provence";"FR7684511970989677778936289";"Négociateur";"Achats";"2022-11-30";"CDI";"25";"True"
"Jean";"Marchand";"jean.marchand@voltaire-analytics.fr";"+33 3 49 81 20 80";"+33 6 51 25 38 38";"1967-03-22";"Lyon";"M";"Portugaise";"167031083348273";"75NB54711";"6685342516";"127 Boulevard Haussmann";"37000";"Tours";"FR7687714279038541396834587";"DAF";"Finance";"2024-10-22";"CDI";"10";"True"
"Marguerite";"Renard";"marguerite-renard@voltaire-analytics.fr";"+33 1 55 74 89 33";"+33 6 40 96 11 36";"1985-06-28";"Paris";"F";"Française";"285064944950134";"77PD87939";"9238478934";"121 Allée des Tilleuls";"64000";"Pau";"FR7632933595455433964974269";"Chargé de Recrutement";"Ressources Humaines";"2025-05-10";"CDI";"37";"True"
"Lucienne";"Lefebvre";"luciennelefebvre@voltaire-analytics.fr";"+33 3 50 39 67 55";"+33 6 32 55 66 48";"1968-01-14";"Toulon";"F";"Française";"268018783197252";"76RE52354";"2780340319";"13 Chemin du Moulin";"68100";"Mulhouse";"FR7624745782392685985884624";"Business Developer";"Commercial";"2020-05-05";"Alternance";"15";"True"
"Eva";"Picard";"eva-picard@voltaire-analytics.fr";"+33 4 73 14 93 57";"+33 6 17 94 62 78";"2003-10-23";"Nancy";"F";"Française";"203107020851793";"36CS39273";"4382799345";"16 Boulevard Saint-Germain";"78000";"Versailles";"FR7673552519481613461379041";"Rédacteur";"Communication";"2023-05-16";"CDD";"23";"True"
"Aurélien";"Charpentier";"aurelien.charpentier@voltaire-analytics.fr";"+33 2 48 89 56 27";"+33 6 45 51 67 16";"1989-01-06";"Marseille";"M";"Française";"189014188590226";"53XP79529";"9132393686";"138 Rue des Écoles";"67000";"Strasbourg";"FR7610990938647075378925021";"Directeur Marketing";"Marketing";"2022-06-17";"CDI";"43";"True"
"Laetitia";"Schmitt";"laetitiaschmitt@voltaire-analytics.fr";"+33 3 71 63 33 37";"+33 6 90 70 13 36";"1973-07-08";"Rouen";"F";"Tunisienne";"273074566828617";"70RY68182";"9841108456";"25 Avenue Foch";"25000";"Besançon";"FR7634800261029502542956029";"Analyste Financier";"Finance";"2016-01-05";"CDD";"46";"False"
"Patrick";"Vidal";"patrickvidal@voltaire-analytics.fr";"+33 1 60 33 54 40";"+33 6 97 84 42 22";"1981-09-18";"Nîmes";"M";"Française";"181093635037787";"45CR90336";"3163401478";"62 Boulevard Haussmann";"25000";"Besançon";"FR7644246104715824211379761";"Chef Comptable";"Comptabilité";"2017-04-11";"Alternance";"11";"True"
"Raphaël";"Hubert";"raphael-hubert@voltaire-analytics.fr";"+33 5 11 49 67 84";"+33 6 79 58 56 66";"1999-09-23";"Brest";"M";"Française";"199096559973107";"65UE22108";"3434789865";"135 Rue du Commerce";"75020";"Paris";"FR7632625807655525283547759";"Architecte Cloud";"Informatique";"2017-05-11";"CDI";"25";"True"
"David";"Dubois";"daviddubois@voltaire-analytics.fr";"+33 2 56 79 66 32";"+33 6 76 86 93 91";"1991-03-29";"Clermont-Ferrand";"M";"Française";"191036095689738";"95GM37438";"1976542753";"5 Boulevard de la Marne";"35000";"Rennes";"FR7682628484711595903050123";"Juriste";"Juridique";"2023-05-07";"CDI";"10";"True"
"Stéphane";"Nicolas";"stephanenicolas@voltaire-analytics.fr";"+33 1 75 46 95 73";"+33 6 46 83 20 90";"2000-03-04";"Brest";"M";"Française";"100033126187460";"93WH99104";"1448375871";"26 Boulevard Voltaire";"75020";"Paris";"FR7664008407846484073417865";"Contrôleur de Gestion";"Finance";"2020-11-16";"CDI";"21";"True"
"Clément";"Fleury";"clement-fleury@voltaire-analytics.fr";"+33 4 88 58 29 30";"+33 6 83 55 19 23";"1975-10-16";"Paris";"M";"Française";"175106632054033";"64CB60154";"6317341620";"100 Rue Jean Moulin";"34000";"Montpellier";"FR7610803488228910831118712";"Directeur R&D";"Recherche & Développement";"2019-12-17";"CDI";"43";"True"
"Adam";"Roux";"adam-roux@voltaire-analytics.fr";"+33 3 19 13 63 59";"+33 6 90 72 79 79";"1991-04-24";"Grenoble";"M";"Belge";"191046189595355";"38EC66436";"5419391602";"71 Rue de Rivoli";"86000";"Poitiers";"FR7637716787903822753646954";"Architecte Cloud";"Informatique";"2017-11-07";"CDD";"1";"True"
"Georges";"Jacquet";"georges.jacquet@voltaire-analytics.fr";"+33 5 76 57 13 31";"+33 6 41 94 94 13";"1988-09-13";"Montreuil";"M";"Tunisienne";"188090486143660";"65OD43106";"7967012013";"51 Rue Victor Hugo";"59000";"Lille";"FR7625998754852187111503342";"DPO";"Juridique";"2019-01-01";"CDI";"5";"True"
"Alexandre";"Jacquet";"alexandrejacquet@voltaire-analytics.fr";"+33 2 30 10 33 74";"+33 6 95 80 19 55";"1968-12-16";"Saint-Denis";"M";"Française";"168122404952287";"85VL28178";"2483901526";"1 Rue du Faubourg Saint-Honoré";"76000";"Rouen";"FR7630699646646844281113231";"Directeur Commercial";"Commercial";"2024-07-17";"CDI";"4";"True"
"Luc";"Rolland";"lucrolland@voltaire-analytics.fr";"+33 1 39 86 47 40";"+33 6 16 41 98 31";"1987-11-01";"Paris";"M";"Française";"187119577417372";"72IT62092";"2950216428";"130 Rue Lafayette";"59000";"Lille";"FR7648756161967542080670492";"Chargé de Communication";"Marketing";"2017-11-18";"CDI";"38";"True"
"Agathe";"Dubois";"agathe.dubois@voltaire-analytics.fr";"+33 2 13 76 62 91";"+33 6 42 22 46 81";"1985-10-07";"Saint-Denis";"F";"Française";"285103285013251";"85UB77546";"5013414795";"70 Rue Pierre Curie";"75020";"Paris";"FR7697958769987809645272494";"Gestionnaire Paie";"Ressources Humaines";"2021-07-22";"CDI";"21";"True"
"Georges";"Deschamps";"georges.deschamps@voltaire-analytics.fr";"+33 1 17 88 16 71";"+33 6 42 46 42 70";"1978-07-19";"Versailles";"M";"Tunisienne";"178073058211073";"98CP26367";"7252182010";"52 Chemin du Moulin";"75008";"Paris";"FR7643580567338041377520996";"Rédacteur";"Communication";"2025-04-07";"Alternance";"26";"True"
"Arnaud";"Henry";"arnaud-henry@voltaire-analytics.fr";"+33 5 58 61 58 10";"+33 6 66 27 38 60";"1987-04-01";"Cannes";"M";"Française";"187040878630076";"70ID29396";"1027720738";"50 Rue du Commerce";"75001";"Paris";"FR7677732878847962445182491";"Analyste Financier";"Finance";"2024-06-03";"Alternance";"35";"True"
"Marie";"Nicolas";"marie.nicolas@voltaire-analytics.fr";"+33 5 41 56 24 61";"+33 6 12 27 60 87";"1969-07-01";"La Rochelle";"F";"Française";"269074349599889";"66LE66434";"6358598408";"56 Allée des Tilleuls";"75020";"Paris";"FR7622929660146238270351270";"Directeur Logistique";"Logistique";"2020-02-27";"CDI";"17";"True"
"Arthur";"Garnier";"arthur-garnier@voltaire-analytics.fr";"+33 4 44 30 88 75";"+33 6 39 88 38 11";"1994-11-03";"Argenteuil";"M";"Belge";"194114624761428";"56EX62052";"1597563418";"49 Boulevard Saint-Germain";"49000";"Angers";"FR7688654832507372306597740";"Architecte Cloud";"Informatique";"2024-09-13";"CDI";"6";"True"
"Mireille";"Brunet";"mireille-brunet@voltaire-analytics.fr";"+33 3 72 35 96 93";"+33 6 67 69 14 45";"1970-02-04";"Caen";"F";"Française";"270027904159018";"63OR18893";"8762014425";"87 Avenue Foch";"69100";"Villeurbanne";"FR7672819690769260516773859";"DRH";"Ressources Humaines";"2022-06-09";"CDI";"44";"True"
"Stéphane";"Collet";"stephanecollet@voltaire-analytics.fr";"+33 5 22 16 76 12";"+33 6 47 24 96 73";"1964-08-02";"Grenoble";"M";"Française";"164085564065546";"45GB72102";"3027460798";"130 Avenue de la Liberté";"84000";"Avignon";"FR7696737694962203396823096";"Coordinateur";"Service Client";"2025-09-08";"Alternance";"38";"True"
"Manon";"Martinez";"manon-martinez@voltaire-analytics.fr";"+33 2 49 18 25 14";"+33 6 43 78 52 66";"1979-04-15";"La Rochelle";"F";"Française";"279045446195625";"24EM52951";"7136812178";"142 Rue de Rivoli";"13001";"Marseille";"FR7686919254239401906251292";"Approvisionneur";"Achats";"2025-03-23";"CDI";"17";"True"
"Tanguy";"Sanchez";"tanguy.sanchez@voltaire-analytics.fr";"+33 5 47 22 99 54";"+33 6 96 81 52 57";"1995-07-21";"Amiens";"M";"Française";"195079223306431";"45GO64568";"3630800168";"95 Avenue Foch";"38000";"Grenoble";"FR7662895747527451813354925";"Chargé de Communication";"Marketing";"2017-11-11";"CDI";"7";"True"
"Bernard";"Rolland";"bernardrolland@voltaire-analytics.fr";"+33 3 14 66 57 62";"+33 6 15 29 40 25";"2001-12-09";"Cannes";"M";"Française";"101125532099343";"15OY89595";"7236660159";"135 Place du Marché";"13100";"Aix-en-Provence";"FR7631145331298616255395174";"Chercheur";"Recherche & Développement";"2023-05-27";"CDD";"10";"True"
"Élodie";"Moulin";"elodiemoulin@voltaire-analytics.fr";"+33 4 83 86 29 57";"+33 6 24 92 86 71";"1973-04-15";"Strasbourg";"F";"Française";"273045341864705";"51IO58001";"7587417098";"63 Allée des Tilleuls";"78000";"Versailles";"FR7673480187721820449827199";"Responsable Grands Comptes";"Commercial";"2025-12-03";"CDI";"45";"True"
"Serge";"Leclerc";"serge-leclerc@voltaire-analytics.fr";"+33 4 25 81 51 34";"+33 6 61 10 91 23";"1982-11-23";"Le Havre";"M";"Portugaise";"182112971802151";"42BF55900";"5819877150";"31 Avenue Victor Hugo";"76600";"Le Havre";"FR7623055636096446910745873";"DPO";"Juridique";"2016-08-27";"CDI";"1";"True"
"Marion";"Delmas";"mariondelmas@voltaire-analytics.fr";"+33 4 23 66 65 37";"+33 6 51 11 62 47";"1996-03-21";"Versailles";"F";"Algérienne";"296035916258441";"87AW48549";"3695852508";"26 Rue Pasteur";"93100";"Montreuil";"FR7663372705362888771688431";"Négociateur";"Achats";"2015-05-22";"CDI";"23";"True"
"Laura";"Charpentier";"laura.charpentier@voltaire-analytics.fr";"+33 3 75 49 63 44";"+33 6 71 26 52 63";"2001-10-17";"Le Havre";"F";"Française";"201105082747947";"75FU15872";"9744253106";"6 Boulevard Voltaire";"95100";"Argenteuil";"FR7624090519786026373025614";"Ingénieur R&D";"Recherche & Développement";"2019-05-29";"Alternance";"16";"True"
"Sarah";"Laurent";"sarah.laurent@voltaire-analytics.fr";"+33 2 96 17 65 59";"+33 6 66 65 61 51";"1991-05-17";"Saint-Denis";"F";"Française";"291050133324008";"91FI30548";"9029112496";"72 Rue de la République";"68100";"Mulhouse";"FR7653901393163448679067174";"Coordinateur";"Service Client";"2025-03-30";"CDI";"36";"True"
"Marc";"Brun";"marc.brun@voltaire-analytics.fr";"+33 3 67 38 33 24";"+33 6 38 58 66 81";"1970-04-04";"Saint-Denis";"M";"Française";"170047239530443";"55KL27482";"6228490765";"8 Avenue de la Liberté";"69003";"Lyon";"FR7611459555846010334535873";"Directeur de la Stratégie";"Direction Générale";"2025-10-23";"Stage";"40";"False"
"Mathilde";"Giraud";"mathilde-giraud@voltaire-analytics.fr";"+33 3 21 26 34 53";"+33 6 96 85 84 99";"1979-09-22";"Caen";"F";"Algérienne";"279095667217828";"50RM88210";"2976969273";"111 Rue de la Paix";"38000";"Grenoble";"FR7614586601843425865028052";"Chercheur";"Recherche & Développement";"2015-09-15";"CDI";"31";"True"
"Lucienne";"Moreau";"luciennemoreau@voltaire-analytics.fr";"+33 2 70 76 42 85";"+33 6 52 37 18 32";"1983-11-05";"Strasbourg";"F";"Française";"283113578489045";"42ZK79462";"9213337641";"127 Rue du Commerce";"95100";"Argenteuil";"FR7630906246796698925283621";"Chargé de Communication";"Marketing";"2022-08-30";"CDI";"21";"True"
"Jacqueline";"Garnier";"jacqueline.garnier@voltaire-analytics.fr";"+33 2 26 96 43 67";"+33 6 15 96 75 22";"2004-02-12";"Lyon";"F";"Française";"204023554170889";"23FS68029";"1999799054";"143 Rue de la Gare";"75015";"Paris";"FR7696284429087118721454948";"Directeur Logistique";"Logistique";"2024-01-29";"CDI";"26";"True"
"Pierre";"Noel";"pierre.noel@voltaire-analytics.fr";"+33 5 12 51 75 79";"+33 6 85 87 11 52";"1965-12-21";"Saint-Denis";"M";"Française";"165126604356018";"25IA35243";"3757415700";"9 Rue des Écoles";"21000";"Dijon";"FR7624720163206299604437638";"Business Developer";"Commercial";"2024-02-02";"CDD";"38";"True"
"Marc";"Leroy";"marc.leroy@voltaire-analytics.fr";"+33 4 99 63 82 48";"+33 6 63 12 27 91";"2000-11-08";"Nantes";"M";"Française";"100113892844116";"67NY43853";"2894845761";"89 Avenue Foch";"06000";"Nice";"FR7678640349221497654688168";"Approvisionneur";"Achats";"2021-12-22";"CDI";"36";"True"
"Stéphanie";"Moreau";"stephanie.moreau@voltaire-analytics.fr";"+33 4 10 84 29 10";"+33 6 41 38 20 43";"1970-10-20";"Brest";"F";"Française";"270104842899229";"97LP25726";"6375555815";"132 Impasse des Lilas";"57000";"Metz";"FR7622655376664875219967483";"Technicien";"Production";"2024-07-10";"CDI";"16";"False"
"Dominique";"Boulanger";"dominique.boulanger@voltaire-analytics.fr";"+33 4 44 55 15 77";"+33 6 59 28 82 51";"1995-09-13";"Toulouse";"F";"Française";"295091786823286";"12PE45548";"8092073716";"25 Rue Pierre Curie";"51100";"Reims";"FR7634425641619103060142456";"Approvisionneur";"Achats";"2020-06-30";"CDI";"35";"True"
"Raphaël";"Colin";"raphael.colin@voltaire-analytics.fr";"+33 5 41 49 14 76";"+33 6 38 57 44 91";"1967-08-22";"Saint-Étienne";"M";"Française";"167081969265587";"70QQ56251";"8295554761";"45 Rue de la Paix";"14000";"Caen";"FR7666802902045888992957158";"Chef d'Atelier";"Production";"2016-12-29";"CDI";"39";"True"
"Louise";"Leclerc";"louise.leclerc@voltaire-analytics.fr";"+33 2 40 63 78 40";"+33 6 20 32 70 53";"1993-11-16";"Reims";"F";"Française";"293111654621130";"88XT55139";"5388903168";"9 Boulevard Saint-Germain";"06600";"Antibes";"FR7627590773601866616131468";"Directeur Juridique";"Juridique";"2022-08-08";"Stage";"27";"True"
"Patrick";"Rolland";"patrick-rolland@voltaire-analytics.fr";"+33 5 46 44 68 38";"+33 6 56 95 37 45";"1999-12-10";"Saint-Denis";"M";"Française";"199123771425370";"89CA38437";"3349985701";"111 Rue Émile Zola";"25000";"Besançon";"FR7696898659617427990698783";"Directeur R&D";"Recherche & Développement";"2024-12-18";"CDI";"41";"True"
"Marine";"Adam";"marineadam@voltaire-analytics.fr";"+33 2 16 22 20 94";"+33 6 17 47 10 80";"1993-11-20";"Perpignan";"F";"Française";"293113325376052";"69RF61679";"1224249368";"121 Chemin du Moulin";"37000";"Tours";"FR7672348913796047847203292";"Comptable";"Comptabilité";"2024-09-19";"Alternance";"19";"True"
"Loïc";"Bertrand";"loic.bertrand@voltaire-analytics.fr";"+33 3 26 56 73 71";"+33 6 67 33 68 68";"1992-11-28";"Nîmes";"M";"Française";"192115869134837";"16FD96293";"7698171025";"24 Rue du Faubourg Saint-Honoré";"34000";"Montpellier";"FR7646958789876716177066714";"Auditeur Interne";"Comptabilité";"2017-02-15";"CDI";"38";"True"
"Clémence";"Colin";"clemence-colin@voltaire-analytics.fr";"+33 2 12 95 46 69";"+33 6 52 98 90 98";"1964-07-20";"Caen";"F";"Portugaise";"264077225337859";"94QZ87864";"4985006567";"99 Avenue Foch";"75020";"Paris";"FR7642039994523400776381477";"Responsable Grands Comptes";"Commercial";"2016-06-19";"CDI";"4";"True"
"Colette";"Boyer";"colette.boyer@voltaire-analytics.fr";"+33 4 95 92 70 85";"+33 6 47 62 66 92";"1983-12-09";"Besançon";"F";"Française";"283128681307089";"76YS77735";"6546112836";"21 Boulevard de la Marne";"06600";"Antibes";"FR7639468852609300268318447";"Technicien Qualité";"Qualité";"2025-12-20";"CDD";"9";"True"
"Lina";"André";"lina.andre@voltaire-analytics.fr";"+33 3 90 16 21 89";"+33 6 45 68 37 73";"1982-05-12";"Mulhouse";"F";"Française";"282055514141121";"96GQ86469";"5869236864";"145 Rue de la Gare";"64100";"Bayonne";"FR7674679989938930556790520";"Coordinateur";"Service Client";"2021-03-19";"CDI";"10";"True"
"Alain";"Pons";"alainpons@voltaire-analytics.fr";"+33 1 12 13 22 42";"+33 6 32 74 62 95";"1985-07-21";"Nancy";"M";"Française";"185070840518728";"50CK74021";"5167075211";"150 Rue Victor Hugo";"51100";"Reims";"FR7615602840636454301286666";"DRH";"Ressources Humaines";"2022-06-11";"CDI";"1";"True"
"Morgane";"Leclerc";"morgane-leclerc@voltaire-analytics.fr";"+33 2 44 30 94 32";"+33 6 71 96 92 47";"1964-11-26";"Cannes";"F";"Française";"264118960498273";"60NL96406";"2659897288";"12 Rue Nationale";"67000";"Strasbourg";"FR7625068698528784326516469";"Analyste Financier";"Finance";"2015-09-19";"CDI";"14";"True"
